month,hs_code,hs_desc,hhi,c3_share,supplier_count,risk_cluster,risk_cluster_label
2023-05-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.171504159934852,0.6224626848252779,74,0,lower concentration/broad supplier base
2023-06-01,853400,PRINTED CIRCUITS,0.1704820169655268,0.6226193304870216,69,0,lower concentration/broad supplier base
2023-06-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1458584564636223,0.5399916698042734,83,0,lower concentration/broad supplier base
2023-06-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2068408103958521,0.7290308349325012,49,1,elevated concentration
2023-06-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.183354337329067,0.6339973616252896,44,2,lower concentration/moderate breadth
2023-06-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1506534052768653,0.5920118042868416,75,0,lower concentration/broad supplier base
2023-07-01,853400,PRINTED CIRCUITS,0.1636198893306731,0.6033093223330226,72,0,lower concentration/broad supplier base
2023-07-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1773067354397499,0.5865951006669876,87,0,lower concentration/broad supplier base
2023-07-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2245725079765447,0.7736696423154069,51,1,elevated concentration
2023-07-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.17719227528884,0.6033662869003282,45,2,lower concentration/moderate breadth
2023-07-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1615716652421241,0.6028456667917246,79,0,lower concentration/broad supplier base
2023-08-01,853400,PRINTED CIRCUITS,0.1722372246046416,0.5985739250090435,72,0,lower concentration/broad supplier base
2023-08-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1340030274511306,0.5231028216537527,88,0,lower concentration/broad supplier base
2023-08-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2223131210029333,0.7607237801019561,51,1,elevated concentration
2023-08-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1546058718004091,0.5924986393001779,47,2,lower concentration/moderate breadth
2023-08-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1505985487877188,0.6031354963483612,83,0,lower concentration/broad supplier base
2023-09-01,853400,PRINTED CIRCUITS,0.1546247126330946,0.5690791666434813,74,0,lower concentration/broad supplier base
2023-09-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1763890546369769,0.6188091488033216,91,0,lower concentration/broad supplier base
2023-09-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2395783734618831,0.7481549120229906,51,1,elevated concentration
2023-09-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1658673375548308,0.5921047187028022,50,2,lower concentration/moderate breadth
2023-09-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1714006030695645,0.6241664069401915,85,0,lower concentration/broad supplier base
2023-10-01,853400,PRINTED CIRCUITS,0.166771595174839,0.6014830972112892,77,0,lower concentration/broad supplier base
2023-10-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1622188560944847,0.6239226934044403,91,0,lower concentration/broad supplier base
2023-10-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2194621501943203,0.6763115504319444,52,1,elevated concentration
2023-10-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1675348160170228,0.5869313501306641,53,2,lower concentration/moderate breadth
2023-10-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1520758243892042,0.5911856261376867,87,0,lower concentration/broad supplier base
2023-11-01,853400,PRINTED CIRCUITS,0.1620380711427694,0.6004403584478446,78,0,lower concentration/broad supplier base
2023-11-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1495327306243138,0.5912469614344678,93,0,lower concentration/broad supplier base
2023-11-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2334816875962729,0.6772050149503829,52,1,elevated concentration
2023-11-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1572043955143591,0.5781969607789421,53,2,lower concentration/moderate breadth
2023-11-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1469889861333749,0.5908033559881564,89,0,lower concentration/broad supplier base
2023-12-01,853400,PRINTED CIRCUITS,0.1653246494404574,0.6137524212302413,80,0,lower concentration/broad supplier base
2023-12-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.2350469686546031,0.6810189584470635,93,0,lower concentration/broad supplier base
2023-12-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2457355303113328,0.7046876832333135,54,1,elevated concentration
2023-12-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1552720883271697,0.5884213659168174,54,2,lower concentration/moderate breadth
2023-12-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.137808483733085,0.5819144167196897,92,0,lower concentration/broad supplier base
2024-01-01,853400,PRINTED CIRCUITS,0.2176119880196106,0.7045076746579028,53,1,elevated concentration
2024-01-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.166824240992355,0.6424843646115851,54,2,lower concentration/moderate breadth
2024-01-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2304192335127824,0.7317040350129224,27,1,elevated concentration
2024-01-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1930019073866952,0.6586635158005701,31,2,lower concentration/moderate breadth
2024-01-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1692087704880773,0.6226459823021016,51,2,lower concentration/moderate breadth
2024-02-01,853400,PRINTED CIRCUITS,0.1831872884456547,0.6463467407753772,60,2,lower concentration/moderate breadth
2024-02-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.160375962723307,0.6543707176389598,59,2,lower concentration/moderate breadth
2024-02-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2153882280309039,0.7309101696966368,36,1,elevated concentration
2024-02-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1607048341892991,0.5906482842670121,36,2,lower concentration/moderate breadth
